,alphas,vxs,Rs,paths,curve
0,0.744,-0.04278062105272681,0.40668902953550506,pathfollow_fftg001/N128s035a07440g001/x2.npz,0
1,0.745,-0.042676089419442786,0.4057515899383368,pathfollow_fftg001/N128s035a07450g001/x2.npz,0
2,0.746,-0.04260836191709748,0.40495364050250754,pathfollow_fftg001/N128s035a07460g001/x2.npz,0
3,0.747,-0.042561461085388004,0.4042378686785344,pathfollow_fftg001/N128s035a07470g001/x2.npz,0
4,0.748,-0.0425277600253172,0.4035763910306296,pathfollow_fftg001/N128s035a07480g001/x2.npz,0
5,0.749,-0.042502913451462745,0.40295303715957353,pathfollow_fftg001/N128s035a07490g001/x2.npz,0
6,0.75,-0.042484133341044505,0.4023572655697896,pathfollow_fftg001/N128s035a07500g001/x2.npz,0
7,0.751,-0.04246945871265882,0.4017815607006096,pathfollow_fftg001/N128s035a07510g001/x2.npz,0
8,0.752,-0.04245739924052706,0.40122014608402434,pathfollow_fftg001/N128s035a07520g001/x2.npz,0
9,0.753,-0.04244674337961266,0.40066827757238344,pathfollow_fftg001/N128s035a07530g001/x2.npz,0
10,0.754,-0.0424364485523564,0.40012182357193915,pathfollow_fftg001/N128s035a07540g001/x2.npz,0
11,0.755,-0.04242557811147195,0.3995770041921539,pathfollow_fftg001/N128s035a07550g001/x2.npz,0
12,0.756,-0.04241327059410351,0.3990302338811489,pathfollow_fftg001/N128s035a07560g001/x2.npz,0
13,0.757,-0.04239873818624494,0.3984780521491225,pathfollow_fftg001/N128s035a07570g001/x2.npz,0
14,0.758,-0.0423812994484471,0.3979171571352224,pathfollow_fftg001/N128s035a07580g001/x2.npz,0
15,0.759,-0.04236045798182272,0.39734458613579704,pathfollow_fftg001/N128s035a07590g001/x2.npz,0
16,0.76,-0.04233604126699789,0.3967581121716597,pathfollow_fftg001/N128s035a07600g001/x2.npz,0
17,0.761,-0.042308402891819086,0.39615691908585726,pathfollow_fftg001/N128s035a07610g001/x2.npz,0
18,0.762,-0.04227864897700376,0.3955425125028048,pathfollow_fftg001/N128s035a07620g001/x2.npz,0
19,0.763,-0.04224876722115704,0.39491954743489505,pathfollow_fftg001/N128s035a07630g001/x2.npz,0
20,0.764,-0.04222146851388262,0.39429590463513764,pathfollow_fftg001/N128s035a07640g001/x2.npz,0
21,0.765,-0.04219963824182202,0.3936813980950752,pathfollow_fftg001/N128s035a07650g001/x2.npz,0
22,0.766,-0.04218559392657148,0.3930853763909256,pathfollow_fftg001/N128s035a07660g001/x2.npz,0
23,0.767,-0.04218057616271317,0.392514530349386,pathfollow_fftg001/N128s035a07670g001/x2.npz,0
24,0.768,-0.04218472236827312,0.39197207532649164,pathfollow_fftg001/N128s035a07680g001/x2.npz,0
25,0.769,-0.04219738900474291,0.3914582783553701,pathfollow_fftg001/N128s035a07690g001/x2.npz,0
26,0.77,-0.04221754107473128,0.39097153370923776,pathfollow_fftg001/N128s035a07700g001/x2.npz,0
27,0.771,-0.04224404136039882,0.390509334628545,pathfollow_fftg001/N128s035a07710g001/x2.npz,0
28,0.772,-0.042275813125216555,0.3900689183112466,pathfollow_fftg001/N128s035a07720g001/x2.npz,0
29,0.773,-0.04231191161293643,0.3896476183777104,pathfollow_fftg001/N128s035a07730g001/x2.npz,0
30,0.774,-0.042351544284872776,0.38924302575368414,pathfollow_fftg001/N128s035a07740g001/x2.npz,0
31,0.775,-0.042394066730097546,0.38885304280788113,pathfollow_fftg001/N128s035a07750g001/x2.npz,0
32,0.776,-0.04243896885036586,0.3884758843385789,pathfollow_fftg001/N128s035a07760g001/x2.npz,0
